App,Category,Form analysis claim,Similarity to Kinetriq (1-5),Key differentiator vs Kinetriq,App Store link
Flex AI,Full trainer + logger,Real-time CV form on squats bench deadlift rows,4,Bigger product (programs community Watch); form is one feature,https://apps.apple.com/us/app/flex-ai-workout-trainer-log/id1446354547
Lift App,Barbell tracker + video,Pro tier: pose estimation joint angles form scoring,5,Upload caps; cloud sync; very barbell/Oly focused,https://apps.apple.com/us/app/lift-app-ai-barbell-tracker/id6756862700
Gymaholic,Workout app + AI form,Upload video frame-by-frame scores ROM tempo alignment,4,1800+ exercises; form bundled in Premium; cloud AI narrative,https://www.gymaholic.co/check-exercise-form
FormCheck AI,Upload form coach,Squat deadlift bench OHP upload analysis,3,Upload-only; fewer live/tempo/assessment features,https://apps.apple.com/us/app/formcheck-ai/id6741048432
SportsReflector,Multi-sport + gym,0-100 form score biomechanics AR drills 20+ sports,3,Broad sports; subscription for depth analysis,https://apps.apple.com/us/app/sportsreflector/id6759809796
Form Factor,Squat coach,On-device real-time squat spoken corrections reports,3,Squat-focused; free no IAP; iOS 26+,https://apps.apple.com/us/app/form-factor/id6759933985
FormLab,Squat coach,Real-time squat Apple Vision 7 issue types,2,Squat only; one-time Pro unlock,https://apps.apple.com/us/app/formlab/id6758761079
Squat Checker,Squat coach,Real-time squat Vision audio feedback,2,Squat only; cheap subscription,https://apps.apple.com/us/app/squat-checker-ai-form-coach/id6761863312
FormCoach,Strength form coach,Real-time 5 lifts voice via AirPods on-device,3,Live + voice; no saved-video export story like Kinetriq,https://apps.apple.com/sg/app/formcoach-ai-form-coach/id6761644968
MotionFit,Home workout form,Squats push-ups planks lunges posture,2,Bodyweight home; not barbell assessment tool,https://apps.apple.com/us/app/motionfit-ai-workout-form/id6754861354
SquatEye,Depth judge,IPF depth pass/fail from photo/video,1,Niche depth tool not full rep coaching,https://apps.apple.com/us/app/squateye/id6758864722
Deadlift AI,Upload multi-lift,Deadlift branding analyzes many lifts via video,3,Subscription for full access; upload AI,https://apps.apple.com/us/app/deadlift-ai-perfect-gym-form/id6745103824
Form Fix,Form check coach,AI form check weekly/monthly IAP,3,Similar upload/weekly sub pattern,https://apps.apple.com/us/app/form-fix-ai-form-check-coach/id6745452870
OnForm / CoachNow,Coach video tools,Human coach markup not automated scoring,1,Different category (B2B coach workflow)
